max_read,iteration,bandwidth_MBps
1,1,193.57
1,2,192.48
1,3,193.57
1,4,220.69
1,5,235.94
1,6,222.61
1,7,197.30
1,8,193.21
1,9,190.69
1,10,198.45
256,1,198.83
256,2,185.84
256,3,193.21
256,4,202.77
256,5,196.55
256,6,189.63
256,7,189.28
256,8,189.98
256,9,206.04
256,10,191.04
1024,1,193.94
1024,2,199.22
1024,3,194.68
1024,4,200.78
1024,5,188.24
1024,6,191.04
1024,7,197.68
1024,8,187.20
1024,9,187.20
1024,10,191.76
4096,1,198.07
4096,2,186.18
4096,3,211.13
4096,4,199.61
4096,5,209.84
4096,6,235.94
4096,7,201.57
4096,8,190.33
4096,9,188.58
4096,10,189.28
65536,1,191.40
65536,2,219.74
65536,3,189.98
65536,4,188.93
65536,5,188.58
65536,6,208.55
65536,7,189.63
65536,8,202.37
65536,9,199.61
65536,10,189.28
131072,1,194.31
131072,2,194.31
131072,3,195.42
131072,4,192.12
131072,5,198.83
131072,6,204.39
131072,7,191.40
131072,8,190.33
131072,9,198.07
131072,10,207.71
262144,1,186.52
262144,2,188.58
262144,3,187.20
262144,4,203.17
262144,5,188.58
262144,6,189.28
262144,7,189.28
262144,8,188.93
262144,9,188.58
262144,10,189.98
524288,1,196.17
524288,2,187.55
524288,3,187.89
524288,4,190.33
524288,5,192.84
524288,6,195.05
524288,7,187.20
524288,8,198.83
524288,9,200.39
524288,10,197.68
1048576,1,196.55
1048576,2,206.04
1048576,3,192.48
1048576,4,194.31
1048576,5,191.40
1048576,6,194.31
1048576,7,203.98
1048576,8,208.55
1048576,9,190.69
1048576,10,194.68
2097152,1,192.84
2097152,2,191.04
2097152,3,196.17
2097152,4,197.30
2097152,5,189.28
2097152,6,187.55
2097152,7,189.63
2097152,8,189.98
2097152,9,187.20
2097152,10,184.50
1073741824,1,188.58
1073741824,2,179.02
1073741824,3,179.65
1073741824,4,189.98
1073741824,5,181.56
1073741824,6,180.92
1073741824,7,203.98
1073741824,8,180.92
1073741824,9,187.20
1073741824,10,180.60
